player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
Andre Barrett,PG,2004-05,6.70%,-,-,5' 8.75'',5' 9.75'',7' 8'',171,6' 1'',10.63,-,3.08,29,34.5,13
Brandon Bass,PF,2004-05,9.30%,-,-,6' 6.25'',6' 7.25'',8' 10.5'',246,7' 2.5'',11.61,-,3.24,31.5,33,18
Andris Biedrins,C,2004-05,9.30%,-,-,,,,-,,-,-,-,-,-,-
Tony Bobbitt,SG,2004-05,7.30%,-,-,6' 2.75'',6' 4'',8' 4'',185,6' 7'',-,-,-,-,-,1
Brian Boddicker,SF-PF,2004-05,11.20%,-,-,6' 7.5'',6' 8.75'',8' 9.5'',230,6' 10'',10.93,-,3.25,28,30,16
Tim Bowers,PG-SG,2004-05,2.60%,-,-,6' 0.5'',6' 1.75'',8' 2'',181,6' 9'',11.24,-,3.21,37,43.5,13
Andre Brown,PF-C,2004-05,6.00%,-,-,6' 8'',6' 9.5'',8' 11'',236,6' 11'',11.7,-,3.22,32,35.5,18
Antonio Burks,PG,2004-05,9.90%,-,-,6' 0'',6' 0.75'',8' 0.5'',191,6' 6.5'',-,-,-,-,-,9
Jackie Butler,C,2004-05,16.30%,-,-,6' 8'',6' 9.5'',9' 1'',263,7' 1.5'',13.32,-,3.4,23,25,14
Aleksandar Capin,PG,2004-05,9.30%,-,-,6' 0'',6' 1.25'',7' 10'',176,6' 1.5'',11.5,-,3.27,23,29,4
Ales Chan,C,2004-05,14.80%,-,-,7' 0'',7' 2'',9' 5'',255,7' 3'',12.9,-,3.62,21,29,2
Josh Childress,SG-SF,2004-05,9.30%,-,-,6' 5.75'',6' 7.25'',8' 9'',196,6' 11'',11.95,-,3.38,29,36,11
TJ Cummings,SF,2004-05,6.70%,-,-,6' 7.5'',6' 8.75'',8' 10.5'',215,6' 9.5'',11.58,-,3.12,27,31,6
Erik Daniels,SF-PF,2004-05,18.50%,-,-,6' 6.25'',6' 7.5'',8' 10'',223,6' 11'',11.38,-,3.19,31,32,4
Luol Deng,SF,2004-05,6.70%,-,-,6' 7'',6' 8'',9' 0.5'',220,7' 0.5'',11.46,-,3.34,27.5,31.5,5
Marcus Douthit,C-PF,2004-05,13.70%,-,-,6' 9.5'',6' 11'',9' 3.5'',223,7' 4'',11.64,-,3.34,25.5,31.5,1
Chris Duhon,PG,2004-05,6.70%,-,-,6' 0'',6' 1.25'',8' 2'',193,6' 6.5'',10.45,-,3.14,31.5,35,7
John Edwards,C,2004-05,14.10%,-,-,6' 11.25'',7' 1'',9' 5'',264,7' 4.5'',-,-,-,-,-,15
Andre Emmett,SG-SF,2004-05,6.70%,-,-,6' 3.5'',6' 4.5'',8' 4'',216,6' 9'',-,-,-,-,-,-
Desmon Farmer,SG,2004-05,5.30%,-,-,6' 4.5'',6' 5.75'',8' 7'',214,6' 8.5'',10.89,-,3.2,24,31,12
Luis Flores,PG-SG,2004-05,6.00%,-,-,6' 0.5'',6' 1.75'',8' 2.5'',202,6' 7.5'',10.97,-,3.1,29,32,15
Matt Freije,SF-PF,2004-05,10.80%,-,-,6' 8.25'',6' 9.5'',9' 0.5'',234,7' 1'',11.15,-,3.25,29.5,31,13
Chris Garnett,C-PF,2004-05,14.80%,-,-,6' 8.25'',6' 9.75'',9' 0'',260,7' 1'',11.75,-,3.36,27,31.5,22
Ryan Gomes,SF-PF,2004-05,-%,-,-,6' 6.5'',6' 7.75'',8' 10.5'',248,7' 2'',12.49,-,3.24,26.5,30.5,9
Ben Gordon,PG-SG,2004-05,5.30%,-,-,6' 1'',6' 2.25'',8' 3'',192,6' 8.5'',11.28,-,3.19,31.5,37.5,12
Devin Harris,PG,2004-05,5.30%,-,-,6' 1.75'',6' 3'',8' 2.5'',170,6' 7.5'',11.03,-,3.19,30.5,37,5
Dwight Howard,PF-C,2004-05,10.50%,-,-,6' 9'',6' 10.25'',9' 3.5'',240,7' 4.5'',11.21,-,3.14,30.5,35.5,7
Rolando Howell,PF,2004-05,11.70%,-,-,6' 7.5'',6' 8.5'',8' 11'',229,7' 0.5'',11.91,-,3.28,28.5,34.5,-
Kris Humphries,PF,2004-05,6.70%,-,-,6' 8.25'',6' 9.5'',8' 10.5'',238,7' 0.5'',11.33,-,3.2,29.5,36,22
Andre Iguodala,SG-SF,2004-05,6.70%,-,-,6' 5.75'',6' 6.75'',8' 9.5'',217,6' 11'',11.17,-,3.18,30.5,34.5,4
Martin Iti,C-PF,2004-05,10.50%,-,-,6' 8.5'',6' 9.75'',9' 3.5'',233,7' 5'',12.28,-,3.41,26.5,32.5,13
Luke Jackson,SF-SG,2004-05,8.00%,-,-,6' 6'',6' 7'',8' 7'',212,6' 8.5'',11.1,-,3.24,26.5,36,13
Al Jefferson,PF-SF,2004-05,10.50%,-,-,6' 8.5'',6' 9.75'',9' 2'',263,7' 2.5'',13.08,-,3.29,28.5,30,3
Arthur Johnson,PF-C,2004-05,16.30%,-,-,6' 7'',6' 8.5'',9' 1'',262,7' 3'',11.81,-,3.38,26.5,28.5,14
Ivan Koljevic,PG,2004-05,6.70%,-,-,6' 1'',6' 2'',7' 11'',172,6' 2.5'',11.07,-,3.28,26,28.5,4
Herve Lamizana,SF-PF,2004-05,6.70%,-,-,6' 7.5'',6' 8.5'',8' 11'',210,7' 1.5'',-,-,-,-,-,-
Sergei Lishouk,PF-SF,2004-05,10.50%,-,-,6' 10.25'',6' 11.5'',9' 1.5'',244,7' 0'',-,-,-,-,-,-
Shaun Livingston,PG-SG,2004-05,6.70%,-,-,6' 6.25'',6' 7.5'',8' 9.5'',186,6' 11'',10.72,-,3.23,26.5,30,-
Jaime Lloreda,PF,2004-05,9.90%,-,-,6' 6.75'',6' 8.5'',8' 11'',247,6' 9.5'',12.93,-,3.23,25.5,29.5,6
Bryant Matthews,SF-SG,2004-05,6.70%,-,-,6' 5.75'',6' 6.75'',8' 9.5'',206,7' 0.5'',11.08,-,3.13,29,34.5,13
Marcus Melvin,SF-PF,2004-05,10.50%,-,-,6' 6.75'',6' 8.5'',8' 9.5'',241,7' 0'',11.81,-,3.33,25,30.5,11
Rich Melzer,PF-SF,2004-05,12.40%,-,-,6' 7.5'',6' 8.75'',8' 11'',229,7' 2'',11.74,-,3.39,24.5,28.5,8
Ricky Minard,PG-SG,2004-05,8.00%,-,-,6' 3.25'',6' 4.25'',8' 5.5'',198,6' 7'',10.94,-,3.1,27.5,33,13
James Moore,PF-SF,2004-05,8.00%,-,-,6' 6.5'',6' 8'',8' 11'',198,7' 0.5'',11.01,-,3.21,28.5,32.5,-
Marcus Moore,PG-SG,2004-05,14.80%,-,-,6' 4'',6' 5.25'',8' 5.5'',202,6' 9'',11.31,-,3.34,25,30,-
Michel Morandais,SG-SF,2004-05,8.60%,-,-,6' 3.75'',6' 4.75'',8' 6'',205,6' 11.5'',11.45,-,3.22,30.5,33.5,16
Jameer Nelson,PG,2004-05,8.00%,-,-,5' 11'',6' 0.5'',7' 11'',199,6' 2.5'',10.95,-,3.14,28.5,33.5,15
Misan Nikagbatse,SG-PG,2004-05,12.90%,-,-,6' 3.5'',6' 4.75'',8' 6'',223,6' 10'',11.27,-,3.32,27.5,32.5,11
Emeka Okafor,C-PF,2004-05,5.30%,-,-,6' 8.75'',6' 10'',9' 2.5'',257,7' 4'',12.32,-,3.15,31.5,34,22
Randall Orr,PF-SF,2004-05,6.70%,-,-,6' 9'',6' 10.75'',8' 11.5'',193,6' 10.5'',11.18,-,3.27,26.5,33,6
Dylan Page,SF,2004-05,12.30%,-,-,6' 7.5'',6' 8.75'',8' 9'',239,6' 7'',10.99,-,3.4,26,30,17
Drago Pasalic,PF,2004-05,12.90%,-,-,6' 9.25'',6' 10.75'',9' 0'',231,6' 11.5'',12.97,-,3.56,25.5,30,8
Rickey Paulding,SG,2004-05,5.30%,-,-,6' 2.75'',6' 4'',8' 5.5'',210,6' 9.5'',11.14,-,3.17,30,36,17
Kelvin Pena,SG-PG,2004-05,8.60%,-,-,6' 2.25'',6' 3.25'',8' 3.5'',182,6' 6.5'',11.5,-,3.24,27.5,32.5,1
Tim Pickett,PG-SG,2004-05,6.00%,-,-,6' 3'',6' 4.25'',8' 4.5'',207,6' 7.5'',-,-,-,-,-,-
Omar Quintero,PG,2004-05,14.10%,-,-,5' 9.75'',5' 11.25'',7' 8.5'',170,5' 11.5'',11.37,-,3.25,25,29,2
Peter Ramos,C,2004-05,6.70%,-,-,7' 1.75'',7' 3.25'',9' 3.5'',266,7' 5.5'',12.61,-,3.6,24,26.5,2
Jared Reiner,C-PF,2004-05,12.90%,-,-,6' 10'',6' 11.75'',9' 1'',246,7' 0.5'',12.65,-,3.56,22,26,15
Lawrence Roberts,PF,2004-05,9.30%,-,-,6' 7.5'',6' 9'',8' 10.5'',233,6' 9.5'',12.52,-,3.3,27.5,33,18
Bernard Robinson,SG-SF,2004-05,6.00%,-,-,6' 5.25'',6' 6.5'',8' 6'',208,6' 10'',10.91,-,3.17,28.5,34.5,14
Nate Robinson,PG,2004-05,6.70%,-,-,5' 7.75'',5' 9'',7' 7.5'',181,6' 1'',10.75,-,2.96,35.5,43.5,13
Aerick Sanders,PF,2004-05,6.70%,-,-,6' 6.5'',6' 7.5'',8' 10'',205,6' 11.5'',11.98,-,3.37,24.5,30.5,9
Romain Sato,SG,2004-05,6.00%,-,-,6' 2'',6' 3.25'',8' 6.5'',204,6' 11'',11.27,-,3.18,31.5,35.5,8
Blagota Sekulic,SF-PF,2004-05,9.30%,-,-,6' 9.25'',6' 10.5'',8' 11'',234,6' 11'',10.93,-,3.39,23.5,31.5,8
Josh Smith,SG-SF,2004-05,6.70%,-,-,6' 7'',6' 8.25'',8' 10.5'',221,7' 0'',11.43,-,3.24,32.5,39.5,12
J.R. Smith,SG-SF,2004-05,6.70%,-,-,6' 5.5'',6' 6.75'',8' 8'',227,6' 10'',10.93,-,3.21,29,35.5,5
Kirk Snyder,SG-SF,2004-05,9.30%,-,-,6' 6'',6' 6.75'',8' 8'',228,6' 9'',10.79,-,3.13,30,35,19
Pape Sow,PF-C,2004-05,9.30%,-,-,6' 8.5'',6' 10'',9' 0.5'',233,7' 2'',12.13,-,3.27,28,31.5,18
Tiago Splitter,C-PF,2004-05,5.30%,-,-,6' 10.25'',6' 11.75'',9' 1.5'',233,7' 2'',11.65,-,3.38,26,31.5,8
Blake Stepp,PG,2004-05,8.00%,-,-,,,,-,,-,-,-,-,-,-
Tom Timmerrmans,PF-C,2004-05,15.20%,-,-,6' 10.5'',6' 11.5'',8' 11.5'',272,6' 11'',13.13,-,3.63,23,26.5,15
Marko Tomas,SG-PG,2004-05,9.30%,-,-,6' 6.5'',6' 7.75'',8' 7.5'',198,6' 7'',11.8,-,3.23,32,31.5,-
Beno Udrih,PG,2004-05,9.30%,-,-,6' 2.5'',6' 3.75'',8' 2'',199,6' 4.5'',-,-,-,-,-,2
Jackson Vroman,PF-C,2004-05,6.70%,-,-,6' 9.25'',6' 10.75'',8' 9.5'',226,7' 0'',10.75,-,3.25,29.5,33.5,12
Delonte West,PG-SG,2004-05,6.70%,-,-,6' 1.5'',6' 2.75'',8' 3.5'',183,6' 6'',11.2,-,3.15,30,35,12
Damien Wilkins,SG-SF,2004-05,7.30%,-,-,6' 4.5'',6' 6'',8' 10'',222,7' 0'',11.92,-,3.15,26.5,31,15
Mike Williams,SF,2004-05,9.30%,-,-,6' 5.5'',6' 6.5'',8' 9.5'',197,6' 11.5'',11.59,-,3.42,23.5,27.5,-
Nate Williams,PF-SF,2004-05,12.40%,-,-,6' 8.5'',6' 10'',9' 1.5'',240,7' 1.5'',12.6,-,3.35,23.5,26,1
Rashad Wright,PG,2004-05,8.00%,-,-,6' 0.5'',6' 1.75'',8' 2.5'',190,6' 10'',11.15,-,3.28,28.5,32.5,10
Alex Acker,SG,2005-06,-%,-,-,6' 3.75'',6' 4.75'',8' 6.5'',183,7' 0'',11.67,-,3.35,28,32,11
Deji Akindele,C-PF,2005-06,-%,-,-,6' 9.5'',6' 11'',9' 0.5'',236.4,7' 3'',12.58,-,3.35,30.5,32.5,13
Mustafa Al-Sayyad,PF-C,2005-06,-%,-,-,,,,-,,11.56,-,3.42,26.5,30.5,-
Nemanja Aleksandrov,PF-SF,2005-06,-%,-,-,6' 10'',7' 0'',9' 2'',220.6,6' 11'',-,-,-,-,-,5
Alan Anderson,SG-SF,2005-06,-%,-,-,6' 4.5'',6' 6'',8' 8'',223.2,6' 9.5'',10.32,-,3.27,26.5,30.5,10
Martynas Andriuskevicius,C-PF,2005-06,-%,-,-,7' 1.25'',7' 3'',9' 4.5'',227.8,6' 11.25'',11.94,-,3.42,24,27.5,-
Sean Banks,SF,2005-06,-%,-,-,6' 5.75'',6' 7'',9' 0'',206.4,7' 1'',11.74,-,3.35,25,31.5,7
Eddie Basden,SG-SF,2005-06,-%,-,-,6' 4.25'',6' 5.5'',8' 5'',210,6' 10.25'',10.52,-,3.21,33,36.5,14
Mike Bell,SF-PF,2005-06,-%,-,-,6' 8.75'',6' 9.25'',8' 8.5'',206.2,7' 1.5'',11.73,-,3.29,33.5,39.5,13
Andrew Bogut,C-PF,2005-06,-%,-,-,6' 11'',7' 0.25'',9' 2.5'',250.6,7' 3'',12.06,-,3.51,27.5,33.5,13
Dee Brown,PG-SG,2005-06,-%,-,-,5' 11'',6' 0'',7' 10'',179,6' 2'',-,-,-,-,-,-
Will Bynum,PG-SG,2005-06,-%,-,-,5' 10.5'',5' 11.5'',7' 9'',188.8,6' 3.5'',11.12,-,3,33,40.5,15
Marcus Campbell,C,2005-06,-%,-,-,6' 10.25'',7' 0.25'',9' 6'',280.4,7' 6'',-,-,-,-,-,9
Will Conroy,PG,2005-06,-%,-,-,6' 1'',6' 2'',8' 0.5'',188.6,6' 3'',10.51,-,3.28,30.5,36.5,14
Taylor Coppenrath,PF-SF,2005-06,-%,-,-,6' 7.75'',6' 9.25'',8' 10.5'',252.4,6' 11.5'',11.51,-,3.44,24.5,27,5
Travis Diener,PG-SG,2005-06,-%,-,-,5' 11.75'',6' 1'',7' 9.5'',165.2,5' 11.75'',10.85,-,3.26,24.5,31,1
Ike Diogu,PF,2005-06,-%,-,-,6' 6.5'',6' 8'',9' 1'',255.4,7' 3.5'',11.94,-,3.45,28,31,21
Daryl Dorsey,PG,2005-06,-%,-,-,5' 11.25'',6' 0.5'',7' 10'',160.8,5' 11.5'',11.41,-,3.24,25,30.5,-
Monta Ellis,SG-PG,2005-06,-%,-,-,6' 2.25'',6' 3.25'',8' 2'',176.6,6' 2.75'',12.13,-,3.31,26.5,31.5,-
Raymond Felton,PG,2005-06,-%,-,-,5' 11.5'',6' 0.25'',8' 2'',199.4,6' 4.25'',10.5,-,3.06,29,33.5,6
Rudy Fernandez,SG,2005-06,-%,-,-,6' 4.75'',6' 6'',8' 5.5'',172,6' 7.5'',10.48,-,3.33,26.5,35.5,-
D'Or Fischer,C-PF,2005-06,-%,-,-,6' 9.25'',6' 10.5'',9' 2.5'',242.4,7' 6'',12.53,-,3.5,28,30.5,2
Eddy Fobbs,C-PF,2005-06,-%,-,-,6' 10.25'',6' 11.25'',9' 3.5'',235.2,7' 6.75'',11.53,-,3.28,29.5,34,12
Sharrod Ford,PF,2005-06,-%,-,-,6' 7.25'',6' 8.25'',8' 10'',212.8,7' 1.5'',11.92,-,3.2,28.5,37,9
Channing Frye,PF-C,2005-06,-%,-,-,6' 9.5'',6' 10.5'',9' 2.5'',243.6,7' 2.5'',11.6,-,3.38,27.5,31,19
Deng Gai,PF-C,2005-06,-%,-,-,6' 7.75'',6' 9.25'',9' 2.5'',214,7' 4.5'',12.51,-,3.27,31.5,35.5,11
Francisco Garcia,SF-SG,2005-06,-%,-,-,6' 5.75'',6' 7'',8' 7'',189.6,6' 10.75'',10.63,-,3.33,27.5,31.5,5
John Gilchrist,PG,2005-06,-%,-,-,6' 1.25'',6' 2.5'',8' 0.5'',195.2,6' 9.25'',11.48,-,3.15,30.5,36.5,12
Marcin Gortat,PF-C,2005-06,-%,-,-,6' 11'',7' 0'',9' 2'',225.2,7' 3.5'',11.48,-,3.33,29.5,36,18
Joey Graham,SF,2005-06,-%,-,-,6' 5.25'',6' 6.5'',8' 8'',216.6,6' 8'',10.62,-,3.05,30,36,26
Danny Granger,,2005-06,-%,-,-,6' 7.5'',6' 8.5'',8' 7'',225.4,7' 1.5'',10.84,-,3.34,31,34,10
Gerald Green,SF,2005-06,-%,-,-,6' 6'',6' 7.25'',8' 8'',192,6' 9.75'',11.2,-,3.21,31.5,39,7
Charles Hayes,SF-PF,2005-06,-%,-,-,6' 5.5'',6' 6.75'',8' 8.5'',232.4,6' 10'',10.7,-,3.34,30,33,20
Luther Head,PG-SG,2005-06,-%,-,-,6' 2'',6' 3'',8' 2.5'',178.8,6' 5.25'',11.12,-,3.21,31.5,38.5,14
Julius Hodge,SG-SF,2005-06,-%,-,-,6' 6'',6' 7'',8' 11.5'',202.2,7' 0.5'',10.89,-,3.18,24.5,29,14
Jared Homan,C-PF,2005-06,-%,-,-,6' 7.75'',6' 8.75'',8' 8.5'',248.2,7' 1.25'',-,-,-,-,-,16
Ersan Ilyasova,SF,2005-06,-%,-,-,6' 7.75'',6' 9'',9' 1.5'',208.8,7' 1.25'',11.59,-,3.56,22,30,2
Jarrett Jack,PG,2005-06,-%,-,-,6' 2.5'',6' 3.5'',8' 4'',197.6,6' 7.5'',10.87,-,3.24,26,28.5,5
Dwayne Jones,C-PF,2005-06,-%,-,-,6' 8.5'',6' 10'',9' 0.5'',242.2,7' 2.75'',11.87,-,3.25,28,31.5,15
Mindaugas Katelynas,SF-PF,2005-06,-%,-,-,6' 7.5'',6' 8.5'',8' 9.5'',217,6' 11'',11.6,-,3.38,31.5,35,7
Jason Klotz,C-PF,2005-06,-%,-,-,6' 8.5'',6' 9.75'',8' 11.5'',249.4,6' 10'',13.13,-,3.68,21.5,27,12
Carl Krauser,PG-SG,2005-06,-%,-,-,5' 11.5'',6' 0.75'',8' 2.5'',193.4,6' 5.5'',11.62,-,3.38,26,31,8
Keith Langford,SG-SF,2005-06,-%,-,-,6' 2.25'',6' 3.5'',8' 5'',203.2,6' 9'',11.38,-,3.23,32,29.5,8
David Lee,PF,2005-06,-%,-,-,6' 7.75'',6' 9'',8' 10.5'',229.5,7' 0'',10.8,-,3.19,30.5,32.5,14
David Lucas,PF,2005-06,-%,-,-,6' 6.5'',6' 7.75'',8' 7.5'',233.4,7' 0'',-,-,-,-,-,17
John Lucas III,PG,2005-06,-%,-,-,5' 9.25'',5' 10.5'',7' 8'',154.4,6' 0'',10.44,-,3.14,29,34,4
Rawle Marshall,SG-SF,2005-06,-%,-,-,6' 4.5'',6' 5.75'',8' 8'',186.6,7' 1'',11.64,-,3.21,30.5,37,7
Jason Maxiell,PF,2005-06,-%,-,-,6' 5'',6' 6.25'',8' 11'',257.6,7' 3.25'',-,-,-,-,-,-
Sean May,PF,2005-06,-%,-,-,6' 7'',6' 8.5'',8' 9'',258.8,7' 1.25'',11.04,-,3.29,30,33,12
Rashad McCants,SG,2005-06,-%,-,-,6' 2.75'',6' 4'',8' 7.5'',201,6' 10.75'',10.39,-,3.11,32.5,34.5,15
Ivan McFarlin,PF,2005-06,-%,-,-,6' 5.5'',6' 6.75'',8' 9.5'',228.6,6' 9'',10.64,-,3.27,26.5,32,10
Juan Mendez,PF-SF,2005-06,-%,-,-,6' 5.25'',6' 6.75'',8' 10.5'',231.4,7' 0'',11.7,-,3.24,29,33,14
Aaron Miles,PG,2005-06,-%,-,-,6' 0'',6' 1.5'',7' 10'',174.6,6' 3.5'',10.69,-,3.22,32,37.5,7
Ellis Myles,PF,2005-06,-%,-,-,6' 6'',6' 7.25'',8' 9.5'',255.2,6' 9.75'',12.8,-,3.42,26,28.5,15
Larry O'Bannon,SG,2005-06,-%,-,-,6' 3'',6' 4.25'',8' 3.5'',196,6' 6'',11.44,-,3.18,31.5,36.5,17
Drago Pasalic,SF-PF,2005-06,-%,-,-,6' 9.5'',6' 11'',9' 0.5'',238.8,6' 11.75'',12.12,-,3.48,25,30.5,11
Chris Paul,PG,2005-06,-%,-,-,5' 11.75'',6' 1'',7' 9'',178,6' 4.25'',11.09,-,3.22,32,38,10
